1,Period (24 hours),Information in this column covers all operational activity conducted during the previous 24 hours.
2,To Date,Information in this column covers all operational activity from the beginning of the event through the end of the most recent reporting period. 
3,Shelters/Evacuation Centers,Shelters and evacuation centers open under the administrative control of the Red Cross. These are traditional Red Cross shelters and Red Cross partner shelters that display any kind of Red Cross logo. 
4,Shelter Overnight Stays,"Number of nights that individuals stay in shelters. As opposed to registrations, which are counted once, each night a registrant stays in a shelter is counted separately as a shelter night. "
5,Meals Served,Number of individual meals served to clients and workers.
6,Snacks Served,Number of individual snacks served to clients and workers.
7,Fixed Feeding Sites,"Sites established as fixed locations for feeding clients, community workers and disaster workers. This includes shelters if, in addition to sheltering residents, they are also open to the public for feeding. It does not include locations primarily serving Red Cross workers. "
8,Mobile Feeding Units,Number of vehicles of any type engaged in serving food to clients and workers.
9,Kitchens,"Number of kitchens, established by or partnered with the Red Cross, where meals are prepared or packaged for distribution."
10,Emergency Response Vehicles,"Total number of Emergency Response Vehicles (ERVs) working on the operation. An ERV is a vehicle used on a disaster relief operation to provide mobile or fixed feeding, bulk distribution, and, as necessary, to be used as a casework, command or communications center or to transfer supplies. "
11,Other Response Vehicles,"Total number of Emergency Communications Response Vehicles (ECRVs), and any other Red Cross owned or non-passenger rental vehicles. (Does not include ERVs) "
12,Service Delivery Sites,"Total number of chapters, Individual Assistance Sites, and any other service delivery locations where Red Cross emergency assistance is being provided to clients. "
13,Total Cases Opened,"Case records opened on Form 901 or in the Client Assistance System (CAS), regardless of the status of the case or the actual or expected disposition of the case."
14,Jumpstart to Recovery Kits Distributed,"Number of Jumpstart to Recovery Kits Distributed - kit will be provided in a Red Cross backpack and usually contains items across the following four categories (along with some additional, event-specific items):
- Comfort: work gloves, masks, blankets, bath-in-a-bag, and flashlight
- Wellness: health information, first aid kit
- Communication: crank operated cell-phone charger and radioInformation: recovery plans, local and national referral information, and safety information."
15,Clean Up Kits Distributed,"Number of clean up kits distributed.  Each kit contains a broom, mop, bucket, disinfectant, rubber gloves and other items, distributed to clients to help them clean their homes after a disaster event. "
16,Comfort Kits Distributed,"Number of comfort kits distributed.  Each kit contains personal hygiene items such as toothbrush, toothpaste, soap, etc., given to clients who have been displaced from their homes."
17,Mental Health Contacts,"Contacts or interventions with disaster clients that have the potential to make a significant difference in an individuals or familys ability to cope with and recover from a disaster. In a small family, each family member is counted as a contact; addressing a large community group is counted as one contact."
18,Health Services Contacts,"Contacts or interventions, conducted in person or over the phone, with disaster clients that have the potential to make a significant difference in an individuals or familys ability to recover from or deal with disaster-caused needs. Such contacts may answer questions, satisfy a need, provide information, or educate. "
19,Total Red Cross Workers,Total number of all employees and volunteers working on the relief operation.
20,Red Cross Volunteers,"Total number of local, spontaneous and Disaster Services Human Resources (DSHR) volunteers working on the relief operation. "
21,866 Get-Info Calls,Calls received at 1-866-GET-INFO for this operation.
22,Safe and Well Registrations,Total number of registrations on the Safe and Well website.
23,# of EOCs Open,Number of Emergency Operations Centers (EOCs) that have been activated. 
24,# of EOCs with Red Cross,Number of Emergency Operations Centers (EOCs) staffed with Red Cross liaisons. 
25,Emergency Aid Stations,"Sites established in the immediate aftermath of an event where affected residents can obtain information on recovery and Red Cross services, as well as bulk items, health and mental health services."
26,Workers Given Training,"Number of workers who attended a formal orientation, operational training or a full training session conducted for relief operation staff and held at the disaster relief operation (DRO)."
